date,price,side,adx,neco,momentum,pl
03.12.2020 08:35,1840.3,-1,28.81,0,-0.5,-155
03.12.2020 08:45,1843.5,1,17.09,0,4.3,150
03.12.2020 09:03,1845.6,1,18.42,0,1.9,150
03.12.2020 09:18,1849,1,19.35,0,4.8,150
03.12.2020 09:50,1854.4,1,31.1,0,5.2,150
03.12.2020 10:02,1857.8,1,35.24,0,6.5,-155
03.12.2020 10:11,1853.6,-1,36.35,0,-0.8,-150
03.12.2020 10:33,1856.4,1,27.73,0,-2.1,150
03.12.2020 11:27,1858.7,1,15.58,0,2.7,-155
03.12.2020 11:43,1857,-1,17.69,0,1.2,150
03.12.2020 12:57,1852.5,-1,10.87,0,-4.2,-155
03.12.2020 13:48,1857.4,1,12.22,0.01,3.9,-155
04.12.2020 08:31,1863.6,1,17.03,0,6.7,150
04.12.2020 08:43,1866.9,1,29.14,0,3.2,-155
04.12.2020 09:03,1865,-1,22.5,0,-2,-155
04.12.2020 09:19,1868.8,1,15,0,3.7,150
04.12.2020 09:33,1872,1,24.47,0,4.3,150
04.12.2020 09:45,1873.8,1,33.01,0,1.4,150
04.12.2020 09:56,1877.2,1,32.88,0,4.3,150
04.12.2020 10:25,1880.7,1,35.65,0,4.1,150
04.12.2020 11:34,1883,1,28.28,0,1.6,-155
04.12.2020 13:18,1880.8,-1,14.5,0,-4.3,-155
04.12.2020 13:44,1884.9,1,12.27,0,2.7,150
07.12.2020 08:31,1893.4,1,26.65,0,6.3,-155
07.12.2020 08:34,1891.8,1,29.84,0,1.1,-155
07.12.2020 08:39,1888.5,-1,20.72,0,-1.4,150
07.12.2020 08:50,1884.4,-1,19.84,0,-2.2,-150
07.12.2020 09:00,1885.9,1,20.88,0,-0.5,150
07.12.2020 09:12,1888.6,1,15.91,0,4.2,150
07.12.2020 09:42,1893.6,1,18.28,0,5.6,150
07.12.2020 10:41,1897.3,1,23.89,0,2.8,-155
07.12.2020 10:55,1893.5,-1,24.11,0,-1,-155
07.12.2020 11:00,1895.3,1,19.4,0,-0.4,-150
07.12.2020 12:03,1891.3,-1,12.47,0,-2.8,150
07.12.2020 12:45,1887.1,-1,18.12,0,-3,-155
07.12.2020 13:01,1886.9,-1,19.86,0,-5.6,-150
07.12.2020 13:35,1888.7,1,19.38,0,1.7,150
07.12.2020 13:56,1890.9,1,15.67,0,2.8,145
08.12.2020 08:30,1884.6,1,14.88,0,3.5,150
08.12.2020 08:33,1888,1,18,0,8.6,150
08.12.2020 08:40,1892.3,1,33.15,0,4.9,150
08.12.2020 08:48,1894.6,1,42.94,0,3.9,150
08.12.2020 08:54,1897.8,1,44.54,0,4.5,-155
08.12.2020 09:02,1894.1,-1,43.86,0,-1.1,-155
08.12.2020 09:12,1898.5,1,28.52,0,1.3,-155
08.12.2020 09:17,1895.8,-1,26.32,0,2.3,-155
08.12.2020 09:33,1894.5,1,20,0,-0.3,150
08.12.2020 09:43,1896.2,1,18.4,0,4.4,150
08.12.2020 10:02,1899.1,1,19.11,0,2.2,150
08.12.2020 10:34,1900.8,1,24.33,0.01,1.7,150
08.12.2020 10:53,1905.7,1,27.04,0,3.8,150
08.12.2020 11:24,1909.5,1,32.19,0,3.7,150
08.12.2020 11:28,1911.6,1,37.02,0,5.5,150
08.12.2020 12:38,1916,1,28.46,0,3,35
09.12.2020 08:31,1930.7,1,12.47,0,2.4,-155
09.12.2020 08:36,1929.1,-1,12.63,0,0.7,-155
09.12.2020 08:40,1932.5,1,11.11,0,-0.1,150
09.12.2020 08:43,1936.1,1,13.78,0,7.8,-155
09.12.2020 08:50,1931.5,-1,18.63,0,-0.1,-155
09.12.2020 09:02,1930.3,-1,12.82,0,-2.6,-150
09.12.2020 09:08,1932.5,1,10.95,0,-1.6,150
09.12.2020 09:12,1925.4,-1,12.11,0,-5.5,-155
09.12.2020 09:18,1929.1,1,21.02,0,2,-155
09.12.2020 09:40,1926.9,-1,13.49,0,-2.3,150
09.12.2020 10:01,1925.3,-1,13.43,0,-1.6,150
09.12.2020 10:05,1922,-1,16.15,0,-4.5,-155
09.12.2020 10:16,1924.2,1,19.29,0,-0.8,-155
09.12.2020 10:57,1924.6,1,18.04,0,1.9,-155
09.12.2020 11:33,1921.1,-1,14.38,0,-3.5,150
09.12.2020 11:40,1917.8,-1,16.68,0,-6.6,150
09.12.2020 11:47,1914.3,-1,23.1,0,-9,150
09.12.2020 11:51,1910.8,-1,31.11,0,-9.4,-155
09.12.2020 12:00,1915.1,1,33.82,0,0.4,-155
09.12.2020 12:03,1911.3,-1,30.77,0,0.5,150
09.12.2020 12:20,1908.9,-1,27.29,0,-2.2,150
09.12.2020 12:25,1905.7,-1,25.87,0,-5.1,150
09.12.2020 12:29,1903.7,-1,29.24,0,-4.6,150
09.12.2020 12:32,1900,-1,33.02,0,-6.9,150
09.12.2020 12:35,1898.1,-1,37.28,0,-6.2,150
09.12.2020 12:55,1894.3,-1,19.66,0,-5.6,150
09.12.2020 12:57,1890.3,-1,24.87,0,-8.3,-155
09.12.2020 13:04,1894,1,37.64,0,4.8,150
09.12.2020 13:14,1898.4,1,19.58,0,2.9,-150
