datetime,price,qty,adx,,,pl
27.06.2018 08:47,1670.9,-1,17.04,0,0,-155
27.06.2018 10:03,1669.3,-1,13.89,0,0,300
27.06.2018 11:44,1662.3,-1,20.37,0,0,300
27.06.2018 12:18,1654.9,-1,29.51,0,0,-155
27.06.2018 12:53,1655.5,-1,35.45,0,0,300
28.06.2018 08:48,1636.2,-1,15.99,0,0,-155
28.06.2018 08:54,1642.8,1,17.01,0,0,-155
28.06.2018 09:20,1636.5,-1,13.24,0,0,-155
28.06.2018 09:38,1633.1,-1,17.92,0,0,-150
28.06.2018 09:50,1636.6,1,18.02,0,0,300
28.06.2018 09:58,1642.9,1,16.16,0,0,-155
28.06.2018 10:49,1638.4,-1,15.14,0,0,-155
28.06.2018 11:45,1636.4,-1,13.09,0,0,-155
28.06.2018 12:00,1643.7,1,12.54,0,0,300
29.06.2018 09:06,1658.1,1,16.11,0,0,-155
29.06.2018 09:51,1658.6,1,16.07,0,0,-155
29.06.2018 11:08,1656,-1,14.26,0,0,300
02.07.2018 08:59,1641,1,16.74,0,0,-150
02.07.2018 09:15,1640,-1,17.88,0,0,-155
02.07.2018 09:32,1646.5,1,16.92,0,0,-155
02.07.2018 10:13,1642.6,-1,20.92,0,0,-155
02.07.2018 12:03,1645.1,1,18.88,0,0,-155
02.07.2018 12:59,1646,1,15.7,0,0,300
03.07.2018 09:02,1670.8,1,23.77,0,0,-155
03.07.2018 11:30,1668.3,-1,16.35,0,0,125
05.07.2018 08:35,1671,-1,19.5,0,0,300
05.07.2018 09:52,1668.6,1,19.11,0,0,300
06.07.2018 08:40,1688.1,1,14.77,0,0,300
09.07.2018 09:21,1702,-1,27.35,0,0,-155
09.07.2018 10:54,1704.5,1,22.94,0,0,160
09.07.2018 14:59,1710.5,-1,22.19,0,0,-15
10.07.2018 09:57,1708.3,-1,15.82,0,0,300
10.07.2018 12:37,1695.6,-1,32.68,0,0,-155
10.07.2018 13:46,1696.9,1,38,0,0,125
11.07.2018 08:38,1695.5,1,13.5,0,0,-155
11.07.2018 08:50,1689,-1,12.6,0,0,-155
11.07.2018 09:00,1696.1,1,12,0,0,-155
11.07.2018 10:36,1692.6,-1,15.77,0,0,300
11.07.2018 14:05,1693.6,1,14.2,0,0,-155
12.07.2018 08:35,1688,-1,16.32,0,0,300
12.07.2018 08:47,1681.9,-1,20.74,0,0,-155
12.07.2018 08:54,1688.7,1,20.61,0,0,-155
12.07.2018 09:45,1684.1,-1,13.26,0,0,-155
12.07.2018 11:00,1686.9,1,14.36,0,0,300
12.07.2018 11:33,1693.1,1,14.26,0,0,-45
13.07.2018 08:59,1692.3,-1,18.63,0,0,-155
13.07.2018 10:44,1697.5,-1,16.67,0,0,300
13.07.2018 12:55,1692.7,-1,14.41,0,0,60
16.07.2018 08:39,1688.6,-1,15.54,0,0,300
16.07.2018 09:55,1680.8,-1,25.22,0,0,-155
16.07.2018 11:33,1681.7,1,25.88,0,0,-150
16.07.2018 12:46,1681.5,1,20.01,0,0,-150
16.07.2018 13:55,1675.3,-1,18.37,0,0,-155
17.07.2018 08:53,1688.6,1,16.08,0,0,300
